06	100	0.0404604	.0662		0.00478114	.0947	mc-2
07	100	0.0149864	.0567		0.0158375	.0754	mc-2
02	100	0.0140693	.0703		0.0235412	.0885	mc-2
01	100	0.0017297	.0529		0.0865584	.0819	mc-2
08	100	0.00973714	.0658		0.0095169	.0841	mc-2
03	100	0.0206348	.0591	0.0885349	.0659	0.0487493	.083	mc-2
05	100	0.019882	.075	0.0353947	.0807	0.0254929	.0939	mc-2
09	100	0.000515351	.0471	0.00224761	.053	0.00149199	.0778	mc-2
04	100	0.00197971	.0523	0.010099	.0631	0.0167794	.0742	mc-2
10	100	0.00105675	.0637	0.042633	.0804	0.0124879	.0864	mc-2
01	500	0.00109916	.0239			mc-2
04	500	5.1345e-05	.0233			mc-2
10	500	0.00183251	.0318			mc-2
05	500	0.000300648	.0335		0.0152158	.037	mc-2
06	500	0.00132605	.0326		0.0134088	.0371	mc-2
07	500	8.73624e-05	.0263		0.0151632	.0313	mc-2
08	500	0.00023178	.0297		0.00887292	.0356	mc-2
09	500	0.000152883	.0213		0.00131301	.0326	mc-2
02	500	0.0100873	.0354		0.0143151	.0342	mc-2
03	500	0.0175977	.025		0.0265053	.0374	mc-2
