35.07	0.801499	35.07	0.0462134
62.4	0.801854	62.4	0.129092
84.32	0.802427	84.32	0.154078
70.54	0.803958	70.54	0.138364
28.52	0.805758	28.52	0.0504719
41.09	0.80815	41.09	0.0634631
49.34	0.809374	49.34	0.0694439
45.62	0.809565	45.62	0.0458234
39.82	0.809879	39.82	0.0755246
31.99	0.811549	31.99	0.0703832
44.61	0.814773	44.61	0.0695896
89.5	0.815028	89.5	0.219243
70.15	0.815137	70.15	0.0817589
93.34	0.81524	93.34	0.356748
80.96	0.816936	80.96	0.273799
40.65	0.818843	40.65	0.0822652
39.02	0.819475	39.02	0.0554514
36.69	0.820076	36.69	0.054664
51.7	0.820214	51.7	0.158325
42.5	0.821246	42.5	0.0558336
87.63	0.821648	87.63	0.182697
39.07	0.821807	39.07	0.0787344
37.08	0.824034	37.08	0.0435514
39.23	0.824369	39.23	0.0791473
43.58	0.825059	43.58	0.0743644
38.99	0.825897	38.99	0.116967
88.86	0.826954	88.86	0.256327
46.37	0.829242	46.37	0.048759
46.88	0.832206	46.88	0.0684646
40.09	0.83253	40.09	0.0784743
26.49	0.834796	26.49	0.104056
34.91	0.835731	34.91	0.090509
34.56	0.837344	34.56	0.0994448
44.93	0.840132	44.93	0.0591743
66.73	0.841877	66.73	0.149006
44.77	0.842519	44.77	0.0745392
42.5	0.843416	42.5	0.0754354
71.47	0.843724	71.47	0.0866117
19.03	0.844053	19.03	0.0800294
45.01	0.845169	45.01	0.108591
83.21	0.846422	83.21	0.173966
32.51	0.847091	32.51	0.0794137
34.61	0.84894	34.61	0.043182
47.98	0.851338	47.98	0.138478
77.48	0.852026	77.48	0.36422
92.83	0.852094	92.83	0.279447
91.98	0.855797	91.98	0.296848
43.93	0.85791	43.93	0.0822124
89.75	0.858609	89.75	0.370804
88.28	0.861027	88.28	0.297109
61.41	0.862966	61.41	0.057208
23.03	0.862978	23.03	0.053413
98.06	0.866281	98.06	0.565295
51.27	0.867731	51.27	0.124659
61.73	0.8688	61.73	0.0955217
38.42	0.868824	38.42	0.067385
38.27	0.869383	38.27	0.0600089
35.44	0.870039	35.44	0.0505644
54.44	0.870469	54.44	0.101271
37.4	0.870488	37.4	0.0510127
71.55	0.872541	71.55	0.127855
35.7	0.872602	35.7	0.0771396
38.23	0.873622	38.23	0.0535457
25.31	0.876255	25.31	0.055009
42.19	0.87628	42.19	0.0647305
38.88	0.876698	38.88	0.056622
35.72	0.879835	35.72	0.0505937
71.57	0.882708	71.57	0.0787501
64.09	0.884051	64.09	0.14241
35.13	0.884561	35.13	0.0633158
50.47	0.884628	50.47	0.0831891
98.94	0.885825	98.94	0.505942
38.07	0.886352	38.07	0.0645447
46.61	0.886693	46.61	0.0574515
81.35	0.888827	81.35	0.216065
84.39	0.888966	84.39	0.398224
43.34	0.889437	43.34	0.0795576
87.34	0.889961	87.34	0.169466
89.88	0.891709	89.88	0.295925
52.38	0.892741	52.38	0.106646
40.21	0.893492	40.21	0.076556
55.14	0.894181	55.14	0.0753376
35.46	0.894316	35.46	0.0453764
36.41	0.896288	36.41	0.0561561
85.88	0.897681	85.88	0.220317
58.49	0.897753	58.49	0.13422
38.21	0.899174	38.21	0.0520835
39.8	0.899328	39.8	0.0845544
42.81	0.899592	42.81	0.0561766
46.88	0.899684	46.88	0.10213
82.59	0.899948	82.59	0.127293
42.38	0.901351	42.38	0.0862146
79.02	0.901351	79.02	0
34.5	0.902698	34.5	0.0783286
32.52	0.902902	32.52	0.0539628
50.64	0.903361	50.64	0.125542
53.71	0.904315	53.71	0.0961657
38.62	0.9045	38.62	0.0415216
74.97	0.904911	74.97	0.131633
86.68	0.905501	86.68	0.235213
82.23	0.905716	82.23	0.18522
79.65	0.906206	79.65	0.15451
55.24	0.906661	55.24	0.0850132
27.04	0.909472	27.04	0.074676
85.47	0.910408	85.47	0.271457
53.53	0.912191	53.53	0.136493
78.37	0.912196	78.37	0.237215
