G002763265	G002763265_ARCH_DPANN
G002763275	G002763275_ARCH_DPANN
G002763335	G002763335_ARCH_DPANN
G002763345	G002763345_ARCH_DPANN
G002778455	G002778455_ARCH_DPANN
G002778915	G002778915_ARCH_DPANN
G002779065	G002779065_ARCH_DPANN
G002779075	G002779075_ARCH_DPANN
G002779235	G002779235_ARCH_DPANN
G002779595	G002779595_ARCH_DPANN
G002779795	G002779795_ARCH_DPANN
G002780105	G002780105_ARCH_DPANN
G002780285	G002780285_ARCH_DPANN
G002780595	G002780595_ARCH_DPANN
G002780965	G002780965_ARCH_DPANN
G002781145	G002781145_ARCH_DPANN
G002781865	G002781865_ARCH_DPANN
G002782805	G002782805_ARCH_DPANN
G002783225	G002783225_ARCH_DPANN
G002783785	G002783785_ARCH_DPANN
G002784265	G002784265_ARCH_DPANN
G002784645	G002784645_ARCH_DPANN
G002785105	G002785105_ARCH_DPANN
G002785255	G002785255_ARCH_DPANN
G002785565	G002785565_ARCH_DPANN
G002788615	G002788615_ARCH_DPANN
G002789275	G002789275_ARCH_DPANN
G002789435	G002789435_ARCH_DPANN
G002789635	G002789635_ARCH_DPANN
G002790315	G002790315_ARCH_DPANN
G002790875	G002790875_ARCH_DPANN
G002790895	G002790895_ARCH_DPANN
G002790905	G002790905_ARCH_DPANN
G002791855	G002791855_ARCH_DPANN
G002792055	G002792055_ARCH_DPANN
G002792115	G002792115_ARCH_DPANN
G002792635	G002792635_ARCH_DPANN
G002792655	G002792655_ARCH_DPANN
G002792675	G002792675_ARCH_DPANN
G002792685	G002792685_ARCH_DPANN
G002792915	G002792915_ARCH_DPANN
G002792935	G002792935_ARCH_DPANN
G002794135	G002794135_ARCH_DPANN
G002794155	G002794155_ARCH_DPANN
G002867475	G002867475_ARCH_DPANN
G002897655	G002897655_ARCH_DPANN
G003009795	G003009795_ARCH_DPANN
G003009815	G003009815_ARCH_DPANN
G003086415	G003086415_ARCH_DPANN
G003086475	G003086475_ARCH_DPANN
G003344645	G003344645_ARCH_DPANN
G003551125	G003551125_ARCH_DPANN
G003553825	G003553825_ARCH_DPANN
G003554465	G003554465_ARCH_DPANN
G003557205	G003557205_ARCH_DPANN
G003558235	G003558235_ARCH_DPANN
G003559395	G003559395_ARCH_DPANN
G003560545	G003560545_ARCH_DPANN
G003561825	G003561825_ARCH_DPANN
G003562145	G003562145_ARCH_DPANN
G003563585	G003563585_ARCH_DPANN
G003564925	G003564925_ARCH_DPANN
G003568775	G003568775_ARCH_DPANN
G003599055	G003599055_ARCH_DPANN
G003599145	G003599145_ARCH_DPANN
G003648985	G003648985_ARCH_DPANN
G003650545	G003650545_ARCH_DPANN
G003650585	G003650585_ARCH_DPANN
G003660925	G003660925_ARCH_DPANN
G003660965	G003660965_ARCH_DPANN
G003660975	G003660975_ARCH_DPANN
G003663225	G003663225_ARCH_DPANN
G003663325	G003663325_ARCH_DPANN
G003663415	G003663415_ARCH_DPANN
