10	0	500	.0203	
04	0	500	.0182	.0213
02	0	500	.0157	.0196
08	0	500	.0183	.0261
05	0	500	.0175	.0175
03	0	500	.0125	.015
01	0	500	.017	.0219
06	0	500	.0132	.0158
07	0	500	.0393	.0365
09	0	500	.0104	.0104
10	1	500	.0158	
08	1	500	.0187	.0213
04	1	500	.0173	.0272
02	1	500	.0179	.0179
05	1	500	.0169	.0233
07	1	500	.0212	.0303
01	1	500	.0196	.0196
03	1	500	.016	.012
06	1	500	.0177	.0244
10	10	500	.0275	
09	1	500	.0123	.0074
08	10	500	.0378	.027
10	11	500	.0204	
05	10	500	.0252	.0343
02	10	500	.0185	.0162
07	10	500	.0241	.0271
04	10	500	.0122	.0224
01	10	500	.0282	.0231
03	10	500	.0201	.0201
06	10	500	.0104	.0125
09	10	500	.0088	.0088
10	12	500	.0595	
08	11	500	.0124	.0145
02	11	500	.0197	.0164
05	11	500	.0023	.0093
07	11	500	.0236	.0519
04	11	500	.0053	.0374
03	11	500	.0191	.0191
01	11	500	.0211	.0141
06	11	500	.0255	.0278
09	11	500	.0185	.0164
10	13	500	.0281	
08	12	500	.0087	.013
02	12	500	.022	.022
05	12	500	.0189	.0232
10	14	500	.0166	
01	12	500	.0053	.008
06	12	500	.0068	.0183
03	12	500	.0284	.0218
07	12	500	.0335	.0586
04	12	500	.02	.0333
09	12	500	.0168	.014
08	13	500	.0185	.0255
10	15	500	.0205	
05	13	500	.0222	.0253
02	13	500	.0181	.0241
06	13	500	.0355	.0258
07	13	500	.0391	.0749
03	13	500	.0312	.0182
01	13	500	.0101	.0122
04	13	500	.0189	.0358
09	13	500	.0187	.0187
10	16	500	.0142	
08	14	500	.0233	.0275
05	14	500	.0169	.0169
02	14	500	.0124	.0104
06	14	500	.0144	.012
03	14	500	.0178	.0148
07	14	500	.023	.0517
01	14	500	.021	.015
09	14	500	.0175	.025
10	17	500	.0229	
04	14	500	.0196	.0283
08	15	500	.0127	.0178
05	15	500	.0179	.0205
02	15	500	.0123	.0123
10	18	500	.0216	
03	15	500	.0312	.0264
06	15	500	.0162	.0162
09	15	500	.0136	.0163
01	15	500	.0223	.0195
07	15	500	.0346	.0447
04	15	500	.0143	.0287
08	16	500	.0298	.0166
10	19	500	.0428	
02	16	500	.018	.0157
05	16	500	.0214	.0233
03	16	500	.0265	.0206
01	16	500	.0146	.0195
06	16	500	.0371	.0262
09	16	500	.0069	.0114
10	2	500	.0422	
07	16	500	.0289	.0537
04	16	500	.0242	.0384
08	17	500	.0261	.0348
02	17	500	.0304	.0239
05	17	500	.0029	.0086
10	20	500	.0326	
09	17	500	.0091	.0091
03	17	500	.0243	.0162
06	17	500	.0219	.017
01	17	500	.0204	.0163
07	17	500	.0362	.0329
04	17	500	.0096	.0224
08	18	500	.0204	.0204
10	21	500	.0323	
02	18	500	.0243	.027
05	18	500	.0203	.0233
09	18	500	.0267	.0267
03	18	500	.0029	.0029
06	18	500	.0207	.0237
01	18	500	.0177	.0295
07	18	500	.0428	.0529
10	22	500	.0437	
04	18	500	.0242	.0217
08	19	500	.0307	.0307
02	19	500	.0317	.0173
05	19	500	.0279	.0186
10	23	500	.0212	
09	19	500	.0196	.014
06	19	500	.0188	.0188
03	19	500	.022	.016
01	19	500	.0314	.0262
07	19	500	.034	.051
04	19	500	.0196	.037
08	2	500	.0189	.0118
10	24	500	.0263	
02	2	500	.0159	.0114
