id	observed	expected
G000687435	p__	p__Proteobacteria
G000432075	p__	p__Terrabacteria_group
G001829695	p__	p__Proteobacteria
G001421015	p__	p__Terrabacteria_group
G001418475	p__	p__Terrabacteria_group
G000685805	p__	p__Proteobacteria
G000433515	p__	p__Terrabacteria_group
G000317675	p__	p__Terrabacteria_group
G001969535	p__	p__Proteobacteria
G001830035	p__	p__Terrabacteria_group
G000620925	p__	p__Proteobacteria
G000330745	p__	p__PVC_group
G900156225	p__	p__Proteobacteria
G000372185	p__	p__Terrabacteria_group
G000012665	p__	p__Proteobacteria
G000346485	p__	p__Terrabacteria_group
G000252685	p__	p__Terrabacteria_group
G001481375	p__	p__Terrabacteria_group
G000155735	p__	p__Proteobacteria
G001613505	p__	p__Terrabacteria_group
G001830905	p__	p__Terrabacteria_group
G000349205	p__	p__Proteobacteria
G000014925	p__	p__Terrabacteria_group
G000240185	p__	p__Proteobacteria
G001902315	p__	p__Terrabacteria_group
G001811135	p__	p__Terrabacteria_group
G001600985	p__	p__Proteobacteria
G001280225	p__	p__Proteobacteria
G000422345	p__	p__Proteobacteria
G000621325	p__	p__Proteobacteria
G000347575	p__	p__Candidatus_Atribacteria
G001189495	p__	p__Terrabacteria_group
G000815025	p__	p__Proteobacteria
G001587595	p__	p__Stenosarchaea_group
G000434815	p__	p__Proteobacteria
G001770075	p__	p__Proteobacteria
G001618885	p__	p__Terrabacteria_group
G000374005	p__	p__Proteobacteria
G000702085	p__	p__Terrabacteria_group
G900128755	p__	p__Proteobacteria
G001514495	p__	p__Terrabacteria_group
G000091465	p__	p__Proteobacteria
G001796415	p__	p__Terrabacteria_group
G001424385	p__	p__Terrabacteria_group
G001705225	p__	p__Proteobacteria
G001281465	p__	p__Proteobacteria
G000278275	p__	p__Proteobacteria
G000496475	p__	p__Proteobacteria
G000756655	p__	p__Proteobacteria
G001434295	p__	p__Terrabacteria_group
G900142485	p__	p__FCB_group
G900113175	p__	p__Terrabacteria_group
G001187555	p__	p__Proteobacteria
G000416315	p__	p__Proteobacteria
G000346505	p__	p__PVC_group
G000425205	p__	p__Terrabacteria_group
G001399705	p__	p__Terrabacteria_group
G001310615	p__	p__Terrabacteria_group
G000959725	p__	p__Proteobacteria
G001435035	p__	p__Terrabacteria_group
G000820625	p__	p__Proteobacteria
G001829775	p__	p__Proteobacteria
G000960975	p__	p__Proteobacteria
G001574735	p__	p__Proteobacteria
G900057755	p__	p__Proteobacteria
G900107305	p__	p__Terrabacteria_group
G001676225	p__	p__Proteobacteria
G001049735	p__	p__Proteobacteria
G000771805	p__	p__Proteobacteria
G000349585	p__	p__Terrabacteria_group
G001456935	p__	p__Terrabacteria_group
G001915265	p__	p__Terrabacteria_group
G000468535	p__	p__Terrabacteria_group
G001419745	p__	p__Terrabacteria_group
G001798605	p__	p__Proteobacteria
G001941945	p__	p__Proteobacteria
G000312385	p__	p__Terrabacteria_group
G000422485	p__	p__Terrabacteria_group
G001263395	p__	p__Terrabacteria_group
G000367925	p__	p__Proteobacteria
G000936425	p__	p__Proteobacteria
G000204605	p__	p__Terrabacteria_group
G000963965	p__	p__Proteobacteria
G000429525	p__	p__Terrabacteria_group
G000380165	p__	p__Terrabacteria_group
G001187785	p__	p__Proteobacteria
G000431955	p__	p__Terrabacteria_group
G000759695	p__	p__Terrabacteria_group
G000737325	p__	p__Proteobacteria
G000816495	p__	p__Proteobacteria
G000168835	p__	p__Proteobacteria
G001816025	p__	p__Proteobacteria
G000007745	p__	p__Proteobacteria
G000021745	p__	p__Proteobacteria
G000519325	p__	p__Terrabacteria_group
G001829755	p__	p__Proteobacteria
G000026205	p__	p__Terrabacteria_group
G001305135	p__	p__Terrabacteria_group
G000993535	p__	p__Parcubacteria_group
G001696925	p__	p__Proteobacteria
G900063805	p__	p__Proteobacteria
G000165905	p__	p__Terrabacteria_group
G000768355	p__	p__Proteobacteria
G001281505	p__	p__Terrabacteria_group
G000380645	p__	p__Terrabacteria_group
G000012965	p__	p__Proteobacteria
G000010525	p__	p__Proteobacteria
G000244975	p__	p__Terrabacteria_group
G900110685	p__	p__Terrabacteria_group
G001788685	p__	p__Candidatus_Peregrinibacteria
G000245755	p__	p__Terrabacteria_group
G000586555	p__	p__Terrabacteria_group
G000355765	p__	p__Proteobacteria
G000498355	p__	p__Terrabacteria_group
G000964305	p__	p__Terrabacteria_group
G001423105	p__	p__Terrabacteria_group
G900110675	p__	p__Terrabacteria_group
G001656425	p__	p__Proteobacteria
G000738435	p__	p__Proteobacteria
G001742205	p__	p__Terrabacteria_group
G000818395	p__	p__Proteobacteria
G000647675	p__	p__Proteobacteria
G000718085	p__	p__Terrabacteria_group
G001424455	p__	p__Terrabacteria_group
G001047375	p__	p__Terrabacteria_group
G000403375	p__	p__Terrabacteria_group
G001610955	p__	p__Terrabacteria_group
G001597285	p__	p__Proteobacteria
G000755385	p__	p__Proteobacteria
G000955725	p__	p__Terrabacteria_group
G001594265	p__	p__Proteobacteria
G000272005	p__	p__Proteobacteria
G000426525	p__	p__Terrabacteria_group
G000568405	p__	p__Proteobacteria
G001868185	p__	p__Terrabacteria_group
G000981525	p__	p__Terrabacteria_group
G000162875	p__	p__Terrabacteria_group
G000300995	p__	p__Proteobacteria
G000972995	p__	p__Terrabacteria_group
G000827595	p__	p__Proteobacteria
G000745395	p__	p__Proteobacteria
G000014125	p__	p__Terrabacteria_group
G000526455	p__	p__Proteobacteria
G000270245	p__	p__Terrabacteria_group
G000027225	p__	p__Proteobacteria
G000009745	p__	p__Proteobacteria
G000025225	p__	p__Terrabacteria_group
G000702065	p__	p__Terrabacteria_group
G000169155	p__	p__Terrabacteria_group
G001027285	p__	p__Proteobacteria
G900129085	p__	p__Terrabacteria_group
G000833335	p__	p__Proteobacteria
G001457875	p__	p__Terrabacteria_group
G001577215	p__	p__FCB_group
G000485475	p__	p__Terrabacteria_group
G001436645	p__	p__Terrabacteria_group
G000506865	p__	p__Proteobacteria
G001436255	p__	p__Terrabacteria_group
G000210615	p__	p__Terrabacteria_group
G000832905	p__	p__Terrabacteria_group
G000314935	p__	p__Proteobacteria
G000466245	p__	p__Terrabacteria_group
G000970675	p__	p__Terrabacteria_group
G001543285	p__	p__Terrabacteria_group
G001876095	p__	p__Terrabacteria_group
G001544555	p__	p__Proteobacteria
G001867535	p__	p__Terrabacteria_group
G001791655	p__	p__Parcubacteria_group
G000430685	p__	p__Terrabacteria_group
G001783065	p__	p__Parcubacteria_group
G000275725	p__	p__Proteobacteria
G000183345	p__	p__Proteobacteria
G000520515	p__	p__Terrabacteria_group
G001940985	p__	p__Terrabacteria_group
G000423365	p__	p__Proteobacteria
G001436315	p__	p__Terrabacteria_group
G000771775	p__	p__Proteobacteria
G001508005	p__	p__Terrabacteria_group
G000166055	p__	p__Proteobacteria
G000340865	p__	p__Proteobacteria
G000284415	p__	p__Proteobacteria
G001262055	p__	p__Terrabacteria_group
G000432615	p__	p__Proteobacteria
G001880325	p__	p__Terrabacteria_group
G000701445	p__	p__Proteobacteria
G000161775	p__	p__Proteobacteria
G000508165	p__	p__Proteobacteria
G001006805	p__	p__Proteobacteria
G001875905	p__	p__Terrabacteria_group
G000425525	p__	p__Terrabacteria_group
G000432055	p__	p__Terrabacteria_group
G001512625	p__	p__Terrabacteria_group
G000442275	p__	p__Proteobacteria
G001190945	p__	p__Terrabacteria_group
G001434255	p__	p__Terrabacteria_group
G001458595	p__	p__Terrabacteria_group
G000401515	p__	p__Proteobacteria
G001899445	p__	p__Terrabacteria_group
G001769805	p__	p__Proteobacteria
G001420915	p__	p__Proteobacteria
G000247475	p__	p__Proteobacteria
G001788845	p__	p__Candidatus_Peregrinibacteria
G001188365	p__	p__Terrabacteria_group
G000300455	p__	p__Proteobacteria
G001276615	p__	p__Proteobacteria
G002006995	p__	p__Proteobacteria
G000813765	p__	p__Proteobacteria
G001321835	p__	p__Proteobacteria
G000711735	p__	p__Proteobacteria
G000934755	p__	p__Proteobacteria
G001510185	p__	p__Proteobacteria
G000016185	p__	p__Proteobacteria
G001853345	p__	p__Proteobacteria
G000455385	p__	p__Proteobacteria
G000763385	p__	p__Terrabacteria_group
G001437715	p__	p__Terrabacteria_group
G001552435	p__	p__Terrabacteria_group
G001796335	p__	p__Terrabacteria_group
G001443455	p__	p__Proteobacteria
G000512675	p__	p__Proteobacteria
G001303695	p__	p__PVC_group
G001769475	p__	p__Proteobacteria
G000699585	p__	p__Terrabacteria_group
G900113405	p__	p__Proteobacteria
G001632125	p__	p__Terrabacteria_group
G001298265	p__	p__Proteobacteria
G002018045	p__	p__Terrabacteria_group
G000472385	p__	p__Proteobacteria
G001685155	p__	p__Terrabacteria_group
G000008505	p__	p__Terrabacteria_group
G000429685	p__	p__Terrabacteria_group
G000429045	p__	p__Proteobacteria
G001795015	p__	p__Terrabacteria_group
G001050475	p__	p__Terrabacteria_group
G000635595	p__	p__Terrabacteria_group
G000972805	p__	p__Terrabacteria_group
G000964995	p__	p__Proteobacteria
G001698445	p__	p__Terrabacteria_group
G001712755	p__	p__Terrabacteria_group
G000741785	p__	p__Terrabacteria_group
G900100125	p__	p__Terrabacteria_group
G001629495	p__	p__Proteobacteria
G001435155	p__	p__Terrabacteria_group
G001038505	p__	p__Proteobacteria
G001805375	p__	p__PVC_group
G000521865	p__	p__Proteobacteria
G001591605	p__	p__Terrabacteria_group
G000576425	p__	p__Terrabacteria_group
G000709755	p__	p__Proteobacteria
G000022305	p__	p__Proteobacteria
G001558695	p__	p__Proteobacteria
G000568815	p__	p__Proteobacteria
G000438215	p__	p__Terrabacteria_group
G000745175	p__	p__Terrabacteria_group
G000620645	p__	p__Terrabacteria_group
G000013705	p__	p__Proteobacteria
G000224065	p__	p__Proteobacteria
G001457015	p__	p__Terrabacteria_group
G000733935	p__	p__Proteobacteria
G000687875	p__	p__Proteobacteria
G001294745	p__	p__Proteobacteria
G000323645	p__	p__Proteobacteria
G000421885	p__	p__Terrabacteria_group
G000020305	p__	p__Proteobacteria
G000283855	p__	p__Proteobacteria
