24528	21345	FT2+ASTRAL	500
173082	41081	FT2+ASTRAL	1000
877492	44471	FT2+ASTRAL	2000
70629	3491	uDance	500
202245	3512	uDance	1000
342525	11583	uDance	2000
573559	5446	uDance	4000
2016419	19790	uDance	8000
3711024	38132	uDance	16000
10764555	36941	uDance	32000
19491589	69603	uDance	64000
3186	852	concat	500
6369	1488	concat	1000
12918	2741	concat	2000
26439	5636	concat	4000
54792	11116	concat	8000
114081	21993	concat	16000
246330	43617	concat	32000
