1	16k	0
0.95	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.58	16k	0
1	16k	0
0.94	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.93	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.78	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.88	16k	0
1	16k	0
1	16k	0
1	16k	0
0.75	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.99	16k	0
0.67	16k	0
0.34	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.9	16k	0
1	16k	0
1	16k	0
1	16k	0
0.61	16k	0
1	16k	0
1	16k	0
0.6	16k	0
0.81	16k	0
0.94	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.77	16k	0
0.99	16k	0
1	16k	0
1	16k	0
1	16k	0
0.94	16k	0
0.99	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.67	16k	0
0.82	16k	0
1	16k	0
0.83	16k	0
0.4	16k	0
1	16k	0
0.79	16k	0
0.47	16k	0
1	16k	0
1	16k	0
0.99	16k	0
1	16k	0
1	16k	0
1	16k	0
0.98	16k	0
1	16k	0
1	16k	0
0.68	16k	0
1	16k	0
1	16k	0
1	16k	0
0.51	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.87	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.5	16k	0
0.89	16k	0
0.74	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
0.95	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
1	16k	0
